BloodID,BirdID,BloodSource,CatchID,BloodTubeNumber,DoNotEditMe,MergeStatus
379,1756,A,3684,1390,-1343130881,
380,1415,A,3654,1391,2102815231,
381,1743,A,3658,1392,29590783,
382,1725,A,3639,1393,514339839,
383,832,A,3653,1394,2037786367,
384,1890,A,3656,1395,1150832127,
385,3000,A,3659,1396,-2138187521,
386,3001,A,3660,1397,1687762943,
387,1702,A,3691,1398,-1598874881,
388,1607,A,3722,1399,598831615,
389,1711,A,3692,1400,617770239,
390,3005,A,3664,1401,-216302593,
391,1604,A,3730,1402,-1019457793,
392,1783,A,3702,1403,-1847208449,
393,1742,A,3686,1404,-1731903233,
394,1570,A,3689,1405,-1684865025,
395,3002,A,3661,1406,-52051201,
396,2959,A,3701,1407,-1950778881,
397,1501,A,3706,1408,-153463553,
398,3004,A,3663,1409,-559692801,
399,1155,A,3688,1410,1539536639,
400,1827,A,3700,1411,921722367,
401,497,A,3694,1412,-574248705,
402,1747,A,3711,1413,-1338914817,
403,441,A,3704,1414,-1809224961,
404,1723,A,3710,1415,-963739137,
405,3003,A,3662,1416,-998556417,
406,1506,A,3729,1417,2069957631,
407,1165,A,3705,1418,-190079233,
408,1824,A,3697,1419,-1630018049,
409,1774,A,3707,1420,-1909518081,
410,1775,A,3696,1421,1721077759,
411,1541,A,3723,1422,-1709305089,
412,1787,A,3738,1423,-1185904129,
413,1826,A,3737,1424,1582638335,
414,1773,A,3721,1425,-680307713,
415,3006,A,3665,1426,-476788993,
416,1869,A,3731,1427,1220308479,
417,1616,A,3709,1428,-1398703873,
418,1819,A,3717,1429,920541183,
419,1559,A,3708,1430,644070143,
420,3024,A,3683,1431,-1658875393,
421,3016,A,3675,1432,-1727525633,
422,1791,A,3795,1433,-184902657,
423,1775,A,3798,1434,-1575031041,
424,497,A,3791,1435,1203631615,
425,1785,A,3724,1436,2143084799,
426,1763,A,3727,1437,-852746241,
427,3012,A,3671,1438,-1264950529,
428,1802,A,3716,1439,2132515327,
429,3013,A,3672,1440,-852232961,
430,3015,A,3674,1441,1243014143,
431,3014,A,3673,1442,1307186943,
432,3018,A,3677,1443,-1023640065,
433,1729,A,3796,1444,304171263,
434,2962,A,3797,1445,-1986074625,
435,3085,A,3742,1446,-1537078529,
436,1740,A,3794,1447,-1067146753,
437,1605,A,3792,1448,1467538687,
438,3086,A,3743,1449,1088957439,
439,3019,A,3678,1450,680935167,
440,2990,A,3800,1451,1972897279,
441,2960,A,3802,1452,-1301368577,
442,3020,A,3679,1453,5681151,
443,1577,A,3801,1454,-1185238273,
444,3090,A,3747,1455,-1776637441,
445,3021,A,3680,1456,410436863,
446,1356,A,3803,1457,-1215400961,
447,1830,A,3808,1458,398681855,
448,1494,A,3809,1459,783322623,
449,3094,A,3751,1460,1933908223,
450,3095,A,3752,1461,2037610495,
451,3093,A,3750,1462,-1692116225,
452,3022,A,3681,1463,-1990348289,
453,1869,A,3805,1464,-187847425,
454,3001,A,3806,1465,-2144748545,
455,3000,A,3807,1466,621907711,
456,3092,A,3749,1467,1365644799,
457,3091,A,3748,1468,-1421573889,
458,3088,A,3745,1470,1897218047,
459,3087,A,3744,1471,1432290047,
460,3089,A,3746,1472,-145901057,
461,1617,A,3810,1473,1428002047,
462,1744,A,3811,1475,-522583041,
463,1857,A,3883,1476,-31410433,
464,3447,A,3836,1477,1423482367,
465,3445,A,3834,1478,1963780351,
466,3448,A,3837,1479,391907327,
467,1702,A,3882,1480,-676680961,
468,3451,A,3840,1481,-1861565953,
469,3446,A,3835,1482,-1509524225,
470,3452,A,3841,1483,331303935,
471,3453,A,3842,1484,1955651327,
472,3449,A,3838,1485,1143481855,
473,3452,A,3841,1486,792613119,
474,1744,A,3885,1487,-798502913,
475,1040,A,3886,1488,1973900031,
476,3444,A,3833,1489,-608908801,
477,3450,A,3839,1491,-668441345,
478,3457,A,3846,1492,-956722177,
479,3017,A,3887,1493,-33421569,
480,1018,A,3884,1494,1047834111,
481,1437,A,3889,1495,-59197185,
482,1722,A,3891,1496,-1269262337,
483,3454,A,3843,1497,1727331071,
484,1731,A,3888,1498,-1335111169,
485,3455,A,3844,1499,-534557441,
486,3456,A,3845,1500,-1666655233,
487,3458,A,3847,1501,873737983,
488,3462,A,3851,1502,-153209345,
489,3461,A,3850,1503,1130111231,
490,3486,A,3875,1506,256794623,
491,3459,A,3848,1507,1194566399,
492,3464,A,3853,1508,-1135617537,
493,1725,A,3892,1509,915879167,
494,3005,A,3890,1510,-1427299329,
495,3460,A,3849,1511,1416058623,
496,1543,A,3902,1512,881114623,
497,3463,A,3852,1513,780699903,
498,1856,A,3894,1514,-513202177,
499,3474,A,3863,1515,-1778169089,
500,3466,A,3855,1516,8446463,
501,1843,A,3893,1517,1478761727,
502,3467,A,3856,1518,-68785153,
503,3489,A,3878,1519,-1063551233,
504,3473,A,3862,1520,1384662527,
