id,mum,dad,p
1703,1244,1213,0.994
1704,951,1196,1
1705,912,1348,1
1706,1186,1221,1
1707,1558,1441,0.685
1708,1438,NA,0.627
1709,1049,1608,1
1710,524,1566,1
1711,1158,1396,1
1712,NA,1357,0.999
1713,1672,1533,1
1714,1222,494,1
1715,1043,676,1
1716,1043,1412,1
1717,NA,1360,0.938
1718,858,1533,1
1719,1247,494,1
1720,1532,911,1
1721,1511,1499,1
1722,1401,1185,0.999
1723,1550,1040,1
1724,444,1165,1
1725,1506,1359,0.995
1726,NA,1504,0.96
1727,666,1171,1
1728,639,1610,1
1729,604,1221,0.999
1730,1612,1199,0.888
1731,1701,1566,1
1732,NA,544,1
1733,840,1187,1
1734,1735,1381,1
1735,1190,917,0.904
1736,1218,1542,1
1737,1598,NA,0.729
1738,862,1579,1
1739,932,1557,1
1740,930,1485,1
1741,1559,1031,1
1742,1510,1542,1
1743,1415,1666,1
1744,NA,1577,0.996
1745,1369,1504,1
1746,949,1540,1
1747,826,1590,1
1748,1390,921,0.884
1749,1674,1029,1
1750,1362,1187,0.997
1751,845,1276,1
1752,1200,1553,1
1753,1244,1188,1
1754,1355,1234,1
1755,1247,1020,1
1756,1244,1178,0.998
1757,NA,NA,0.415
1758,1757,1523,1
1759,522,1360,1
1760,1380,602,1
1761,1186,921,0.998
1762,927,501,1
1763,1152,1349,1
1764,1222,1684,1
1765,628,1358,1
1766,1415,1666,0.997
1767,930,1485,1
1768,1361,1590,1
1769,1024,1412,1
1770,1024,1412,0.996
1771,925,1020,1
1772,NA,1199,0.324
1773,1186,1184,1
1774,1501,507,1
1775,458,499,1
1776,1510,1542,0.999
1777,1017,1018,1
1778,951,1196,1
1779,1387,1670,1
1780,1491,1356,1
1781,NA,1579,0.997
1782,1193,NA,0.452
1783,1305,1595,1
1784,1380,1395,0.995
1785,1155,453,1
1786,1538,1539,1
1787,503,1184,0.655
1788,1401,1551,1
1789,NA,NA,0.58
1790,1403,1533,1
1791,1172,544,1
1793,1275,1610,1
1794,1382,1677,1
1795,NA,1165,0.775
1796,1437,1196,1
1797,1195,NA,0.739
1798,1588,1581,1
1799,869,1188,1
1800,1193,1495,1
1801,845,1276,1
1802,524,1578,0.665
1803,1580,1040,0.989
1804,1532,911,0.999
1805,1193,1590,1
1806,1597,1587,1
1807,1271,1593,1
1808,1403,849,1
1819,1355,1802,0.7
1820,1700,1221,1
1821,1172,1171,1
1822,938,1381,1
1823,1172,1171,1
1824,1419,1287,0.996
1825,1506,1500,1
1826,1536,1787,0.999
1827,1563,1572,1
1828,1508,1754,1
1829,1190,1489,1
1830,1271,1395,1
1831,1757,1523,1
1832,NA,1731,0.337
1833,1559,1031,1
1843,1490,1287,0.997
1844,1415,1040,1
1845,1685,1608,0.654
1846,1244,1213,0.998
1847,1763,1287,1
1848,1059,1666,0.978
1849,601,506,1
1850,601,506,1
1851,1195,1045,1
1852,1247,1287,0.58
1853,1771,1187,1
1854,1771,1187,1
1855,442,1543,1
1856,1753,1349,1
1857,1753,1349,1
1858,825,1611,1
1861,NA,NA,0.609
1864,1503,1209,1
1865,458,1268,0.984
1866,1409,1209,0.999
1867,1674,1029,1
1868,1384,1553,0.999
1869,832,1604,1
1870,1892,1754,0.97
1871,1401,1524,1
1872,NA,1040,0.557
1873,1550,1724,1
1874,1669,1213,1
1876,NA,1268,0.808
1877,1893,1524,0.996
1878,862,1524,0.895
1879,1501,1606,1
1881,1155,453,1
1882,639,1610,1
1883,1275,1587,0.997
1884,1580,1512,0.947
1885,1024,1412,0.999
1886,1517,544,0.988
1887,1429,1759,1
1888,2987,1676,0.824
1889,1170,1609,0.998
1890,1735,1381,1
1891,1541,509,1
1892,832,1534,1
1893,1403,849,0.983
1894,503,1214,1
1895,912,1348,1
1896,1305,1595,1
1897,927,501,1
2959,919,510,1
2960,1369,1744,1
2962,1763,1287,1
2963,1672,1533,1
2964,1559,1435,0.998
