id	dam	sire	LLRdam	LLRsire	LLRpair	OHdam	OHsire	MEpair
6884	6138	6570	3.83	15.4	21.77	0	0	0
3009	1429	631	-2.72	0.71	15.53	1	1	3
6020	3085	1729	-20.16	11.88	21.97	0	0	0
3012	1247	1287	11.68	5.78	20.23	0	0	0
6831	5621	NA	14.28	NA	NA	0	NA	NA
7094	1516	5559	7.64	4.13	16.76	0	0	0
6070	5518	2974	8.81	11.53	15.77	0	0	0
6836	5823	6556	2.63	14.59	23.36	0	0	0
1485	823	562	1.18	18.61	26.57	0	0	0
6865	6211	6231	-1.36	-5.3	5.77	0	0	0
1503	1186	1213	10.33	15.81	15.55	0	3	3
1230	827	467	-10.8	6.41	57.8	0	0	3
472	78	NA	-1.17	NA	NA	0	NA	NA
5466	3002	1886	11.53	-3.59	19.85	0	0	0
1285	1182	544	-0.9	9.08	19.49	1	0	1
1723	1550	1040	18.5	-0.84	15.99	0	0	0
4937	1827	1744	6.09	5.76	3.88	0	0	0
3090	1362	1509	5.51	4.09	25.16	0	0	0
1229	NA	NA	NA	NA	NA	NA	NA	NA
1279	522	1174	5.39	10.42	12.96	0	0	0
3450	1506	1720	-0.69	8.36	28.04	0	0	0
1417	NA	NA	NA	NA	NA	NA	NA	NA
4974	2968	1769	17.02	3.57	35.9	0	0	0
1246	869	176	-3.61	-4.25	49.86	0	0	0
6882	NA	NA	NA	NA	NA	NA	NA	NA
6385	6034	5602	10.36	-5.61	7.61	0	2	4
6910	1736	5554	4.07	5.56	13.42	0	0	1
2983	1672	1533	5.92	19.97	30.28	0	0	0
6565	6009	1869	8.36	13.12	27.58	0	0	0
6554	5854	5822	-0.93	12.49	19.8	0	0	0
6567	5633	5498	10.36	-5.1	11.22	0	0	0
6546	5575	5820	-8.35	14.71	9.72	0	0	3
6294	5625	5820	-0.28	3.69	10.35	0	0	0
1776	1510	1199	0.39	2.44	-4.15	0	0	3
1888	2987	1695	18.19	14.29	20.18	0	0	0
3014	1586	1214	-13	53.04	-19.37	0	0	4
6919	6036	6163	4.16	10.53	15.9	0	0	0
7110	NA	5292	NA	16.52	NA	NA	0	NA
3571	2975	1611	23.22	-3.39	22.01	0	0	0
6233	3608	5834	9.42	15.35	15.78	0	0	0
3448	2984	501	13.11	3.28	28.13	0	0	0
1529	1403	849	-2.95	9.46	17.38	0	0	0
6870	6028	3456	7.11	-18.68	5.76	0	0	0
6758	4905	1748	-8.11	1.37	-12.45	0	2	2
7075	6009	4951	12.51	5.58	24.53	0	0	0
6776	6036	6314	24.52	17.19	5.04	0	0	0
